model,n_rows_in_file,processed_instances,total_expected,processed,correct,wrong,missing,pipeline_accuracy,correct_L1,correct_L2,correct_L3,assigned_filter,assigned_embedding,assigned_llm,unmatched,correct_filter,correct_embedding,correct_llm,total_avg_latency_sec,total_sum_latency_sec,total_sum_latency_sec_norm,total_avg_tokens,total_sum_tokens,total_sum_tokens_norm,ex_acc_activity,ex_acc_machine,ex_acc_time,ex_acc_worker,ex_all_correct,ex_all_correct_L1,ex_all_correct_L2,ex_all_correct_L3,ex_L1_activity,ex_L1_machine,ex_L1_time,ex_L1_worker,ex_L2_activity,ex_L2_machine,ex_L2_time,ex_L2_worker,ex_L3_activity,ex_L3_machine,ex_L3_time,ex_L3_worker,cls_entries,cls_accuracy_raw,cls_accuracy_norm,ex_sum_tokens,cls_sum_tokens,match_sum_tokens,ex_sum_tokens_norm,cls_sum_tokens_norm,match_sum_tokens_norm,ex_avg_tokens,cls_avg_tokens,match_avg_tokens,ex_sum_time_sec,cls_sum_time_sec,match_sum_time_sec,ex_sum_time_sec_norm,cls_sum_time_sec_norm,match_sum_time_sec_norm,ex_avg_time_sec,cls_avg_time_sec,match_avg_time_sec
GPT3,240,240,240,240,226,14,0,0.9416666666666667,79,76,71,196,33,9,2,196,28,2,4.795569577083397,1150.9366985000152,1150.9366985000152,1717.7166666666667,412252.0,412252.0,0.9958333333333333,0.9958333333333333,0.875,0.9625,204,79,73,52,1.0,1.0,0.9875,1.0,0.9875,1.0,0.925,1.0,1.0,0.9875,0.7125,0.8875,240.0,0.8541666666666666,0.8541666666666666,252823.0,153247.0,6182.0,252822.99999999997,153247.0,6182.0,1053.4291666666666,638.5291666666667,25.758333333333333,696.7998441000009,294.7170360999953,159.41981830001896,696.7998441000009,294.7170360999953,159.41981830001896,2.9033326837500035,1.2279876504166471,0.6642492429167457
GPT4,240,240,240,240,225,15,0,0.9375,79,76,70,188,39,11,2,188,33,4,5.078523092500306,1218.8455422000734,1218.8455422000734,1723.1125,413547.0,413547.0,0.9583333333333334,1.0,0.875,0.9708333333333333,196,75,69,52,0.95,1.0,0.9875,1.0,0.9375,1.0,0.925,1.0,0.9875,1.0,0.7125,0.9125,240.0,0.8666666666666667,0.8666666666666667,252701.0,152865.0,7981.0,252701.0,152865.0,7981.000000000001,1052.9208333333333,636.9375,33.25416666666667,696.2286621999992,295.3610698999837,227.25581010009046,696.2286621999992,295.3610698999837,227.25581010009046,2.9009527591666635,1.2306711245832653,0.9468992087503769
GPT5,240,240,240,240,225,15,0,0.9375,79,76,70,190,37,9,4,190,31,4,4.946308194166766,1187.113966600024,1187.113966600024,1713.4291666666666,411223.0,411223.0,0.9625,0.9958333333333333,0.8791666666666667,0.9666666666666667,198,77,69,52,0.975,1.0,0.9875,1.0,0.9375,1.0,0.925,1.0,0.975,0.9875,0.725,0.9,240.0,0.8583333333333333,0.8583333333333333,253574.0,151937.0,5712.0,253574.0,151937.0,5712.0,1056.5583333333334,633.0708333333333,23.8,701.3735214000012,290.3034278000014,195.43701740002143,701.3735214000012,290.3034278000014,195.43701740002143,2.922389672500005,1.209597615833339,0.8143209058334226
GPT6,240,240,240,240,226,14,0,0.9416666666666667,80,75,71,195,34,7,4,195,29,2,4.896609124999364,1175.1861899998476,1175.1861899998476,1704.6958333333334,409127.0,409127.0,0.9833333333333333,0.9958333333333333,0.8791666666666667,0.975,202,77,72,53,0.9875,1.0,0.9875,0.9875,0.975,1.0,0.925,1.0,0.9875,0.9875,0.725,0.9375,240.0,0.8625,0.8625,251578.0,152475.0,5074.0,251577.99999999997,152475.0,5074.0,1048.2416666666666,635.3125,21.141666666666666,700.400659699917,293.93248209999,180.85304819994053,700.400659699917,293.93248209999,180.85304819994053,2.9183360820829876,1.224718675416625,0.7535543674997522
GPT7,240,240,240,240,226,14,0,0.9416666666666667,80,75,71,194,34,8,4,194,29,3,4.8662572787496705,1167.901746899921,1167.901746899921,1706.8291666666667,409639.0,409639.0,0.9708333333333333,0.9958333333333333,0.8708333333333333,0.975,201,77,70,54,0.975,1.0,0.9875,1.0,0.9375,1.0,0.9125,1.0,1.0,0.9875,0.7125,0.925,240.0,0.875,0.875,250676.0,152813.0,6150.0,250676.0,152813.0,6150.0,1044.4833333333333,636.7208333333333,25.625,683.7812455000076,295.0572167999999,189.06328459991346,683.7812455000076,295.0572167999999,189.06328459991346,2.849088522916698,1.2294050699999994,0.7877636858329727
GPT8,240,240,240,240,224,16,0,0.9333333333333333,78,75,71,190,39,7,4,190,33,1,4.907915085000445,1177.8996204001069,1177.8996204001069,1708.875,410130.0,410130.0,0.9708333333333333,0.9916666666666667,0.8708333333333333,0.9666666666666667,197,76,70,51,0.975,1.0,0.975,1.0,0.95,1.0,0.925,1.0,0.9875,0.975,0.7125,0.9,240.0,0.8708333333333333,0.8708333333333333,252891.0,152747.0,4492.0,252891.00000000003,152747.0,4492.0,1053.7125,636.4458333333333,18.716666666666665,697.0488775999966,299.84654260001116,181.00420020009915,697.0488775999966,299.84654260001116,181.00420020009915,2.904370323333319,1.2493605941667132,0.7541841675004132
Gemma1,240,240,240,240,225,15,0,0.9375,79,77,69,182,29,22,7,182,24,19,3.145465843749998,754.9118024999996,754.9118024999996,1166.125,279870.0,279870.0,0.9958333333333333,0.9833333333333333,0.8791666666666667,0.9,188,79,74,35,1.0,1.0,0.9875,1.0,1.0,1.0,0.925,1.0,0.9875,0.95,0.725,0.7,240.0,0.8791666666666667,0.8791666666666667,161886.0,105571.0,12413.0,161886.0,105571.0,12413.0,674.525,439.87916666666666,51.72083333333333,261.0947429999999,88.45959340000081,405.3574660999989,261.0947429999999,88.45959340000081,405.3574660999989,1.0878947624999995,0.36858163916667,1.6889894420833287
Gemma2,240,240,240,240,222,18,0,0.925,79,77,66,183,28,21,8,183,24,15,2.9370819720833046,704.8996732999931,704.8996732999931,1163.6875,279285.0,279285.0,0.9958333333333333,0.9833333333333333,0.875,0.9,189,79,74,36,1.0,1.0,0.9875,1.0,1.0,1.0,0.925,1.0,0.9875,0.95,0.7125,0.7,240.0,0.875,0.875,161885.0,105533.0,11867.0,161885.0,105533.0,11867.0,674.5208333333334,439.72083333333336,49.44583333333333,245.5927470000006,85.71063310001045,373.59629319998203,245.5927470000006,85.71063310001045,373.59629319998203,1.0233031125000025,0.3571276379167102,1.5566512216665918
Gemma3,240,240,240,240,226,14,0,0.9416666666666667,79,78,69,182,29,22,7,182,25,19,2.8794963295831546,691.0791190999571,691.0791190999571,1166.2166666666667,279892.0,279892.0,0.9958333333333333,0.9791666666666666,0.8791666666666667,0.9041666666666667,189,79,74,36,1.0,1.0,0.9875,1.0,1.0,1.0,0.925,1.0,0.9875,0.9375,0.725,0.7125,240.0,0.875,0.875,161883.0,105569.0,12440.0,161883.0,105569.0,12440.0,674.5125,439.87083333333334,51.833333333333336,240.80400439999357,83.2458330999998,367.0292815999637,240.80400439999357,83.2458330999998,367.0292815999637,1.0033500183333066,0.34685763791666585,1.529288673333182
Gemma4,240,240,240,240,225,15,0,0.9375,79,77,69,183,28,23,6,183,24,18,2.8754262195831948,690.1022926999667,690.1022926999667,1168.9333333333334,280544.0,280544.0,0.9958333333333333,0.9833333333333333,0.875,0.9,189,79,74,36,1.0,1.0,0.9875,1.0,1.0,1.0,0.925,1.0,0.9875,0.95,0.7125,0.7,240.0,0.875,0.875,161889.0,105607.0,13048.0,161889.0,105607.0,13048.0,674.5375,440.02916666666664,54.36666666666667,240.68238010001733,83.63721460001216,365.7826979999372,240.68238010001733,83.63721460001216,365.7826979999372,1.0028432504167388,0.34848839416671734,1.5240945749997385
