model,n_rows_in_file,processed_instances,total_expected,processed,correct,wrong,missing,pipeline_accuracy,correct_L1,correct_L2,correct_L3,assigned_filter,assigned_embedding,assigned_llm,unmatched,correct_filter,correct_embedding,correct_llm,total_avg_latency_sec,total_sum_latency_sec,total_sum_latency_sec_norm,total_avg_tokens,total_sum_tokens,total_sum_tokens_norm,ex_acc_activity,ex_acc_machine,ex_acc_time,ex_acc_worker,ex_all_correct,ex_all_correct_L1,ex_all_correct_L2,ex_all_correct_L3,ex_L1_activity,ex_L1_machine,ex_L1_time,ex_L1_worker,ex_L2_activity,ex_L2_machine,ex_L2_time,ex_L2_worker,ex_L3_activity,ex_L3_machine,ex_L3_time,ex_L3_worker,cls_entries,cls_accuracy_raw,cls_accuracy_norm,ex_sum_tokens,cls_sum_tokens,match_sum_tokens,ex_sum_tokens_norm,cls_sum_tokens_norm,match_sum_tokens_norm,ex_avg_tokens,cls_avg_tokens,match_avg_tokens,ex_sum_time_sec,cls_sum_time_sec,match_sum_time_sec,ex_sum_time_sec_norm,cls_sum_time_sec_norm,match_sum_time_sec_norm,ex_avg_time_sec,cls_avg_time_sec,match_avg_time_sec
LLama1b7,120,120,240,120,68,52,120,0.2833333333333333,30,34,4,63,13,37,7,62,6,0,6.360576611666784,763.269193400014,1526.538386800028,1258.0916666666667,150971.0,301942.0,0.675,0.75,0.6416666666666667,0.5833333333333334,43,26,15,2,0.75,0.8888888888888888,0.9444444444444444,0.9722222222222222,0.7954545454545454,0.9318181818181818,0.6818181818181818,0.6363636363636364,0.475,0.425,0.325,0.175,240.0,0.21666666666666667,0.21666666666666667,80621.0,51778.0,18572.0,161242.0,103556.0,37144.0,671.8416666666667,431.48333333333335,154.76666666666668,40.94775809999919,12.722401500010161,709.5990338000047,81.89551619999838,25.444803000020322,1419.1980676000094,0.34123131749999325,0.10602001250008468,5.9133252816667055
LLama1b8,137,137,240,137,76,61,103,0.31666666666666665,37,34,5,73,11,42,11,72,2,2,5.8983807532849095,808.0781632000326,1415.6113807883783,1262.7080291970804,172991.0,303049.92700729927,0.7058823529411765,0.7777777777777778,0.5925925925925926,0.5851851851851851,47,33,9,5,0.723404255319149,0.9130434782608695,0.8913043478260869,0.9130434782608695,0.7446808510638298,0.8723404255319149,0.48936170212765956,0.5957446808510638,0.6428571428571429,0.5238095238095238,0.38095238095238093,0.21428571428571427,240.0,0.1875,0.1875,92320.0,59918.0,20753.0,161728.46715328467,104965.8394160584,36355.620437956204,673.8686131386861,437.35766423357666,151.4817518248175,49.46103780002886,17.430378399993053,741.1867470000107,86.64707351829873,30.534969459841847,1298.4293378102377,0.3610294729929114,0.1272290394160077,5.410122240875991
LLama3b1,214,214,240,214,175,39,26,0.7291666666666666,69,69,37,152,25,37,0,151,18,6,2.690851543457993,575.8422303000106,645.8043704299183,1143.892523364486,244793.0,274534.20560747664,0.9813084112149533,0.897196261682243,0.8504672897196262,0.8364485981308412,157,69,65,23,1.0,1.0,0.9857142857142858,1.0,0.9863013698630136,0.9863013698630136,0.9041095890410958,1.0,0.9577464788732394,0.704225352112676,0.6619718309859155,0.5070422535211268,240.0,0.775,0.775,134621.0,91431.0,18741.0,150976.82242990655,102539.43925233644,21017.943925233645,629.0700934579439,427.24766355140184,87.57476635514018,77.95320200000606,25.83490870000093,472.05411960000356,87.42415177570773,28.973729383178615,529.406489271032,0.36426729906544886,0.1207238724299109,2.2058603719626335
LLama3b2,218,218,240,218,185,33,22,0.7708333333333334,71,68,46,152,28,38,0,152,25,8,2.8575625032102243,622.9486256998289,685.8150007704538,1144.2477064220184,249446.0,274619.4495412844,0.9861751152073732,0.8940092165898618,0.8525345622119815,0.8294930875576036,157,69,65,23,0.9722222222222222,1.0,0.9861111111111112,1.0,1.0,1.0,0.9154929577464789,1.0,0.9864864864864865,0.6891891891891891,0.6621621621621622,0.5,240.0,0.7875,0.7875,137327.0,93270.0,18849.0,151185.68807339447,102682.56880733944,20751.192660550456,629.940366972477,427.8440366972477,86.46330275229357,83.1477669999998,25.85451079999938,513.9463478998296,91.53882605504565,28.46368161467822,565.8124931007299,0.3814117752293569,0.11859867339449258,2.357552054586374
LLama3b3,222,222,240,222,186,36,18,0.775,75,69,42,156,33,33,0,156,26,4,2.5567266716214854,567.5933210999698,613.6144011891565,1128.3693693693695,250498.0,270808.64864864864,0.9684684684684685,0.8963963963963963,0.8423423423423423,0.8243243243243243,156,71,65,20,0.9473684210526315,1.0,0.9868421052631579,1.0,1.0,1.0,0.9027777777777778,1.0,0.9594594594594594,0.6891891891891891,0.6351351351351351,0.47297297297297297,240.0,0.7708333333333334,0.7708333333333334,139235.0,94961.0,16302.0,150524.32432432432,102660.54054054055,17623.783783783783,627.1846846846847,427.7522522522523,73.43243243243244,78.90701480000021,26.248690799999615,462.43761549997,85.3048808648651,28.37696302702661,499.9325572972649,0.3554370036036046,0.1182373459459442,2.083052322071937
LLama3b4,217,217,240,217,179,38,23,0.7458333333333333,73,67,39,152,29,36,0,152,21,6,2.7537847580642176,597.5712924999352,660.9083419354122,1140.073732718894,247396.0,273617.69585253455,0.9769585253456221,0.8894009216589862,0.8433179723502304,0.8202764976958525,155,72,60,23,0.9864864864864865,1.0,0.9864864864864865,1.0,0.9714285714285714,0.9857142857142858,0.8714285714285714,1.0,0.9726027397260274,0.684931506849315,0.6712328767123288,0.4657534246575342,240.0,0.7375,0.7375,136318.0,92900.0,18178.0,150766.45161290324,102746.54377880185,20104.700460829496,628.1935483870968,428.110599078341,83.76958525345623,79.76039529999974,25.508545900000165,492.30235129993525,88.21426208294902,28.212216663594653,544.4818631888685,0.3675594253456209,0.11755090276497772,2.268674429953619
LLama3b5,225,225,240,225,183,42,15,0.7625,71,71,41,158,28,39,0,158,19,6,2.750220244889031,618.799555100032,660.0528587733675,1148.12,258327.0,275548.8,0.9822222222222222,0.8839285714285714,0.8311111111111111,0.8177777777777778,160,69,67,24,0.9861111111111112,0.9859154929577465,0.9861111111111112,1.0,0.9736842105263158,0.9736842105263158,0.8947368421052632,0.9868421052631579,0.987012987012987,0.7012987012987013,0.6233766233766234,0.4805194805194805,240.0,0.7833333333333333,0.7833333333333333,142130.0,96401.0,19796.0,151605.3333333333,102827.73333333334,21115.733333333334,631.6888888888889,428.4488888888889,87.98222222222222,82.58671730000037,27.73281600000052,508.48002180003095,88.09249845333372,29.581670400000554,542.378689920033,0.3670520768888905,0.1232569600000023,2.259911208000138
LLama3b6,216,216,240,216,181,35,24,0.7541666666666667,71,67,43,155,29,32,0,155,21,5,2.5931872134255136,560.1284380999109,622.3649312221232,1132.0925925925926,244532.0,271702.22222222225,0.9861111111111112,0.8981481481481481,0.8333333333333334,0.8564814814814815,157,69,61,27,0.9722222222222222,1.0,0.9861111111111112,1.0,1.0,1.0,0.8591549295774648,1.0,0.9863013698630136,0.6986301369863014,0.6575342465753424,0.5753424657534246,240.0,0.7625,0.7625,136116.0,92274.0,16142.0,151240.0,102526.66666666667,17935.555555555555,630.1666666666666,427.19444444444446,74.73148148148148,79.66727439999994,26.096721700000096,454.3644419999109,88.51919377777772,28.996357444444552,504.84937999990103,0.3688299740740738,0.12081815601851896,2.103539083332921
LLama3b7,211,211,240,211,169,42,29,0.7041666666666667,72,61,36,142,32,37,0,142,23,4,2.9299077161140388,618.2105281000622,703.1778518673693,1147.4028436018957,242102.0,275376.68246445496,0.981042654028436,0.8909952606635071,0.8483412322274881,0.8151658767772512,147,70,58,19,0.9861111111111112,0.9861111111111112,0.9861111111111112,1.0,0.9846153846153847,1.0,0.9076923076923077,1.0,0.972972972972973,0.7027027027027027,0.6621621621621622,0.47297297297297297,240.0,0.7666666666666667,0.7666666666666667,133222.0,90514.0,18366.0,151532.1327014218,102954.31279620853,20890.236966824643,631.3838862559242,428.97630331753555,87.04265402843602,76.39424100000053,25.112443200000932,516.7038439000607,86.89392341232289,28.563916436020016,587.7200120190264,0.36205801421801204,0.11901631848341673,2.44883338341261
LLama3b8,218,218,240,218,188,30,22,0.7833333333333333,75,68,45,156,30,32,0,156,24,8,2.4396727848622035,531.8486670999604,585.5214683669288,1123.197247706422,244857.0,269567.3394495413,0.9770642201834863,0.8990825688073395,0.8532110091743119,0.8623853211009175,161,72,64,25,0.96,0.9733333333333334,1.0,1.0,1.0,1.0,0.8888888888888888,0.9861111111111112,0.971830985915493,0.7183098591549296,0.6619718309859155,0.5915492957746479,240.0,0.7666666666666667,0.7666666666666667,136276.0,93045.0,15536.0,150028.623853211,102434.8623853211,17103.853211009173,625.1192660550458,426.8119266055046,71.26605504587155,74.49418450000019,26.48402580000083,430.87045679995936,82.01194623853232,29.15672565137706,474.35279647701947,0.34171644266055134,0.12148635688073775,1.9764699853209144
