model,n_rows_in_file,processed_instances,total_expected,processed,correct,wrong,missing,pipeline_accuracy,correct_L1,correct_L2,correct_L3,total_avg_latency_sec,total_sum_latency_sec,total_sum_latency_sec_norm,total_avg_tokens,total_sum_tokens,total_sum_tokens_norm,ex_acc_activity,ex_acc_machine,ex_acc_time,ex_acc_worker,ex_L1_activity,ex_L1_machine,ex_L1_time,ex_L1_worker,ex_L2_activity,ex_L2_machine,ex_L2_time,ex_L2_worker,ex_L3_activity,ex_L3_machine,ex_L3_time,ex_L3_worker,cls_entries,cls_accuracy_raw,cls_accuracy_norm,cls_entries_L1,cls_entries_L2,cls_entries_L3,cls_accuracy_raw_L1,cls_accuracy_raw_L2,cls_accuracy_raw_L3,cls_correct_norm_L1,cls_correct_norm_L2,cls_correct_norm_L3,ex_sum_tokens,cls_sum_tokens,match_sum_tokens,ex_sum_tokens_norm,cls_sum_tokens_norm,match_sum_tokens_norm,ex_avg_tokens,cls_avg_tokens,match_avg_tokens,ex_sum_time_sec,cls_sum_time_sec,match_sum_time_sec,ex_sum_time_sec_norm,cls_sum_time_sec_norm,match_sum_time_sec_norm,ex_avg_time_sec,cls_avg_time_sec,match_avg_time_sec
Deepseek-r1 14b,240.0,240.0,240.0,240.0,225.125,14.875,0.0,0.9380208333333333,79.125,75.125,70.875,11.670393504843775,2800.8944411625057,2800.8944411625057,1867.7973958333332,448271.375,448271.375,0.9937478207810321,0.990097629009763,0.881193340306834,0.9671678870292887,1.0,1.0,0.9875,0.9984375,1.0,0.9984375,0.9264636075949367,0.9984177215189873,0.98125,0.971875,0.7296875,0.9046875,240.0,0.8182291666666667,0.8182291666666667,80.0,80.0,80.0,0.86875,0.7171875,0.86875,0.2895833333333333,0.2390625,0.2895833333333333,237316.375,204828.75,6126.25,237316.375,204828.75,6126.25,988.8182291666667,853.453125,25.526041666666664,1227.389784087501,1317.1708324750064,256.33382459999837,1227.389784087501,1317.1708324750064,256.33382459999837,5.114124100364588,5.488211801979193,1.0680576024999933
GPT-oss 20b,240.0,240.0,240.0,240.0,225.375,14.625,0.0,0.9390625,79.25,75.375,70.75,6.8814016439062495,1651.5363945375,1651.5363945375,1714.1239583333333,411389.75,411389.75,0.9729166666666667,0.9958333333333333,0.8760416666666666,0.9703125,0.9765625,1.0,0.9859375,0.9984375,0.9546875,1.0,0.9234375,1.0,0.9875,0.9875,0.71875,0.9125,240.0,0.8630208333333333,0.8630208333333333,80.0,80.0,80.0,0.884375,0.7671875,0.9375,0.2947916666666667,0.2557291666666667,0.3125,253037.75,152492.125,5859.875,253037.75,152492.125,5859.875,1054.3239583333334,635.3838541666667,24.41614583333333,1040.4448022749905,420.87754422500154,190.21404803750806,1040.4448022749905,420.87754422500154,190.21404803750806,4.335186676145794,1.7536564342708396,0.7925585334896169
Gemma3 12b,240.0,240.0,240.0,240.0,224.75,15.25,0.0,0.9364583333333334,79.0,77.25,68.5,2.9116707124998475,698.8009709999634,698.8009709999634,1165.8989583333334,279815.75,279815.75,0.9958333333333333,0.9817708333333333,0.8776041666666666,0.9020833333333333,1.0,1.0,0.9875,1.0,1.0,1.0,0.925,1.0,0.9875,0.9453125,0.7203125,0.70625,240.0,0.8770833333333333,0.8770833333333333,80.0,80.0,80.0,0.9,0.8,0.93125,0.3,0.26666666666666666,0.3104166666666667,161885.5,105566.625,12363.625,161885.5,105566.625,12363.625,674.5229166666667,439.8609375,51.51510416666667,243.85418111250104,84.25914036250288,370.68764952495945,243.85418111250104,84.25914036250288,370.68764952495945,1.0160590879687543,0.35107975151042864,1.5445318730206643
Llama3.2 1b,136.0,136.0,240.0,136.0,78.625,57.375,104.0,0.32760416666666664,38.25,34.75,5.625,5.940617049622087,807.8067516250201,1425.748091909301,1260.1922377626954,171432.375,302446.13706304686,0.7152470631457204,0.7565000567065784,0.6265834940019722,0.5959098103989409,0.7623110015177545,0.9194396605809649,0.9325511324424368,0.9524177332329506,0.7831437206280704,0.8840448393985646,0.6214976970046966,0.6288441445123545,0.5949396528700499,0.45701918859336477,0.32327462967609566,0.20293009641284163,240.0,0.21822916666666667,0.21822916666666667,80.0,80.0,80.0,0.2734375,0.2046875,0.1765625,0.09114583333333333,0.06822916666666666,0.058854166666666666,90861.875,59006.5,21564.0,160362.59804980224,104127.85028818822,37955.68872505642,668.177491874176,433.8660428674509,158.1487030210684,45.493286487500654,15.59457068750634,746.7188944500131,80.32122530582443,27.496393959229,1317.9304726442474,0.3346717721076018,0.11456830816345417,5.491376969351031
Llama3.2 3b,217.625,217.625,240.0,217.625,180.75,36.875,22.375,0.753125,72.125,67.5,41.125,2.6964891794555883,586.6178322499637,647.1574030693412,1138.4245019719597,247743.875,273221.8804732703,0.9799188409727091,0.8936446681718817,0.8443323565588031,0.8327941206057562,0.9763151967757231,0.9931699921752739,0.9879359152385468,1.0,0.9895036920541607,0.9932124832629519,0.8930352330322311,0.9966191520467836,0.97430168503871,0.6985595796853755,0.6544433585119481,0.50826910827152,240.0,0.76875,0.76875,80.0,80.0,80.0,0.8296875,0.6921875,0.784375,0.2765625,0.23072916666666665,0.26145833333333335,136905.625,93099.5,17738.75,150982.42204106183,102671.58344506849,19567.87498714001,629.093425171091,427.79826435445204,81.53281244641671,79.11384953750085,26.10908286250031,481.39489984996254,87.24996033256677,28.790657577540035,531.1167851592344,0.36354150138569485,0.11996107323975014,2.212986604830143
